index,고시일,구분코드,구분,항목(대)코드,항목(대),항목(중)코드,항목(중),항목(소)코드,항목(소),단위
60,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,1,평균,W/m²K
61,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,2,남,W/m²K
62,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,3,남동,W/m²K
63,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,4,동,W/m²K
64,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,5,북동,W/m²K
65,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,6,북,W/m²K
66,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,7,북서,W/m²K
67,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,8,서,W/m²K
68,20150529,3,건축부문 평가항목,3,평균열관류율,1,외벽,9,남서,W/m²K
69,20150529,3,건축부문 평가항목,3,평균열관류율,2,지붕,0,,W/m²K
70,20150529,3,건축부문 평가항목,3,평균열관류율,3,바닥,0,,W/m²K
71,20150529,3,건축부문 평가항목,4,기밀성능(주거용 본인증),0,,0,,회
72,20150529,3,건축부문 평가항목,5,용도프로필,1,소규모사무실,1,면적,m²
73,20150529,3,건축부문 평가항목,5,용도프로필,1,소규모사무실,2,비중,%
74,20150529,3,건축부문 평가항목,5,용도프로필,2,대규모사무실,1,면적,m²
75,20150529,3,건축부문 평가항목,5,용도프로필,2,대규모사무실,2,비중,%
76,20150529,3,건축부문 평가항목,5,용도프로필,3,회의및세미나실,1,면적,m²
77,20150529,3,건축부문 평가항목,5,용도프로필,3,회의및세미나실,2,비중,%
78,20150529,3,건축부문 평가항목,5,용도프로필,4,강당,1,면적,m²
79,20150529,3,건축부문 평가항목,5,용도프로필,4,강당,2,비중,%
80,20150529,3,건축부문 평가항목,5,용도프로필,5,구내식당,1,면적,m²
81,20150529,3,건축부문 평가항목,5,용도프로필,5,구내식당,2,비중,%
82,20150529,3,건축부문 평가항목,5,용도프로필,6,화장실,1,면적,m²
83,20150529,3,건축부문 평가항목,5,용도프로필,6,화장실,2,비중,%
84,20150529,3,건축부문 평가항목,5,용도프로필,7,그외체류공간,1,면적,m²
85,20150529,3,건축부문 평가항목,5,용도프로필,7,그외체류공간,2,비중,%
86,20150529,3,건축부문 평가항목,5,용도프로필,8,부속공간,1,면적,m²
87,20150529,3,건축부문 평가항목,5,용도프로필,8,부속공간,2,비중,%
88,20150529,3,건축부문 평가항목,5,용도프로필,9,창고/설비/문서실,1,면적,m²
89,20150529,3,건축부문 평가항목,5,용도프로필,9,창고/설비/문서실,2,비중,%
90,20150529,3,건축부문 평가항목,5,용도프로필,10,전산실,1,면적,m²
91,20150529,3,건축부문 평가항목,5,용도프로필,10,전산실,2,비중,%
92,20150529,3,건축부문 평가항목,5,용도프로필,11,주방및조리실,1,면적,m²
93,20150529,3,건축부문 평가항목,5,용도프로필,11,주방및조리실,2,비중,%
94,20150529,3,건축부문 평가항목,5,용도프로필,12,병실,1,면적,m²
95,20150529,3,건축부문 평가항목,5,용도프로필,12,병실,2,비중,%
96,20150529,3,건축부문 평가항목,5,용도프로필,13,객실,1,면적,m²
97,20150529,3,건축부문 평가항목,5,용도프로필,13,객실,2,비중,%
98,20150529,3,건축부문 평가항목,5,용도프로필,14,교실,1,면적,m²
99,20150529,3,건축부문 평가항목,5,용도프로필,14,교실,2,비중,%
100,20150529,3,건축부문 평가항목,5,용도프로필,15,강의실,1,면적,m²
101,20150529,3,건축부문 평가항목,5,용도프로필,15,강의실,2,비중,%
102,20150529,3,건축부문 평가항목,5,용도프로필,16,매장,1,면적,m²
103,20150529,3,건축부문 평가항목,5,용도프로필,16,매장,2,비중,%
104,20150529,3,건축부문 평가항목,5,용도프로필,17,전시실,1,면적,m²
105,20150529,3,건축부문 평가항목,5,용도프로필,17,전시실,2,비중,%
106,20150529,3,건축부문 평가항목,5,용도프로필,18,열람실,1,면적,m²
107,20150529,3,건축부문 평가항목,5,용도프로필,18,열람실,2,비중,%
108,20150529,3,건축부문 평가항목,5,용도프로필,19,체육시설,1,면적,m²
109,20150529,3,건축부문 평가항목,5,용도프로필,19,체육시설,2,비중,%
110,20150529,4,기계부문 평가항목,1,냉난방방식,1,난방,0,,-
111,20150529,4,기계부문 평가항목,1,냉난방방식,2,냉방,0,,-
112,20150529,4,기계부문 평가항목,2,전력수요관리시설(냉방),1,전기사용설비,1,용량,kW
113,20150529,4,기계부문 평가항목,2,전력수요관리시설(냉방),1,전기사용설비,2,비중,%
114,20150529,4,기계부문 평가항목,2,전력수요관리시설(냉방),2,비전기사용설비,1,용량,kW
115,20150529,4,기계부문 평가항목,2,전력수요관리시설(냉방),2,비전기사용설비,2,비중,%
116,20150529,4,기계부문 평가항목,3,전력수요관리시설(난방),1,전기사용설비,1,용량,kW
117,20150529,4,기계부문 평가항목,3,전력수요관리시설(난방),1,전기사용설비,2,비중,%
118,20150529,4,기계부문 평가항목,3,전력수요관리시설(난방),2,비전기사용설비,1,용량,kW
119,20150529,4,기계부문 평가항목,3,전력수요관리시설(난방),2,비전기사용설비,2,비중,%
120,20150529,4,기계부문 평가항목,4,온열원설비,1,난방방식,0,,-
121,20150529,4,기계부문 평가항목,4,온열원설비,2,사용연료,0,,-
122,20150529,4,기계부문 평가항목,4,온열원설비,3,용량,0,,kW
123,20150529,4,기계부문 평가항목,4,온열원설비,4,효율,0,,-
124,20150529,4,기계부문 평가항목,5,냉열원설비,1,냉방방식,0,,-
125,20150529,4,기계부문 평가항목,5,냉열원설비,2,사용연료,0,,-
126,20150529,4,기계부문 평가항목,5,냉열원설비,3,용량,0,,kW
127,20150529,4,기계부문 평가항목,5,냉열원설비,4,효율,0,,-
128,20150529,4,기계부문 평가항목,6,급탕설비,1,급탕방식,0,,-
129,20150529,4,기계부문 평가항목,6,급탕설비,2,사용연료,0,,-
130,20150529,4,기계부문 평가항목,6,급탕설비,3,용량,0,,kW
131,20150529,4,기계부문 평가항목,6,급탕설비,4,효율,0,,-
132,20150529,4,기계부문 평가항목,7,펌프,1,순환수용,1,동력,W
133,20150529,4,기계부문 평가항목,7,펌프,1,순환수용,2,효율,-
134,20150529,4,기계부문 평가항목,7,펌프,2,급탕용,1,동력,W
135,20150529,4,기계부문 평가항목,7,펌프,2,급탕용,2,효율,-
136,20150529,4,기계부문 평가항목,8,송풍기,1,급기,1,풍량,CMH
137,20150529,4,기계부문 평가항목,8,송풍기,1,급기,2,동력,kW
138,20150529,4,기계부문 평가항목,8,송풍기,1,급기,3,효율,-
139,20150529,4,기계부문 평가항목,8,송풍기,2,배기,1,풍량,CMH
140,20150529,4,기계부문 평가항목,8,송풍기,2,배기,2,동력,kW
141,20150529,4,기계부문 평가항목,8,송풍기,2,배기,3,효율,-
142,20150529,4,기계부문 평가항목,9,전열교환기,1,풍량,0,,CMH
143,20150529,4,기계부문 평가항목,9,전열교환기,2,비중,0,,%
144,20150529,4,기계부문 평가항목,9,전열교환기,3,열회수효율,1,난방,-
145,20150529,4,기계부문 평가항목,9,전열교환기,3,열회수효율,2,냉방,-
146,20150529,5,전기부문 평가항목,1,조명에너지,1,평균조명에너지부하율,0,,W/m²
147,20150529,5,전기부문 평가항목,1,조명에너지,2,주조명광원,0,,-
148,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,1,난방,1,용량,ℓ
149,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,1,난방,2,효율,-
150,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,2,급탕,1,용량,ℓ
151,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,2,급탕,2,효율,-
152,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,3,집열판면적,0,,m²
153,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,4,집열판유형,0,,-
154,20150529,6,신재생 및 열병합 부문 평가항목,1,태양열,5,집열판방위,0,,-
155,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,1,용량,0,,kW
156,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,2,효율,0,,-
157,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,3,모듈면적,0,,m²
158,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,4,모듈기울기,0,,-
159,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,5,모듈방위,0,,-
160,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,6,모듈종류,0,,-
161,20150529,6,신재생 및 열병합 부문 평가항목,2,태양광,7,모듈적용타입,0,,-
162,20150529,6,신재생 및 열병합 부문 평가항목,3,지열,1,난방,1,용량,kW
163,20150529,6,신재생 및 열병합 부문 평가항목,3,지열,1,난방,2,효율,-
164,20150529,6,신재생 및 열병합 부문 평가항목,3,지열,2,냉방,1,용량,kW
165,20150529,6,신재생 및 열병합 부문 평가항목,3,지열,2,냉방,2,효율,-
166,20150529,6,신재생 및 열병합 부문 평가항목,4,열병합,1,열생산능력,0,,kW
167,20150529,6,신재생 및 열병합 부문 평가항목,4,열병합,2,열생산효율,0,,-
168,20150529,6,신재생 및 열병합 부문 평가항목,4,열병합,3,발전효율,0,,-
169,20150529,6,신재생 및 열병합 부문 평가항목,4,열병합,4,가동연료,0,,-
170,20150529,6,신재생 및 열병합 부문 평가항목,5,신재생 및 열병합 에너지생산량,0,,0,,kWh/m²yr
171,20150529,7,평가자정보,1,평가책임자,0,,0,,-
172,20150529,7,평가자정보,2,평가자,0,,0,,-
173,20150529,8,등급,1,에너지효율등급,0,,0,,-
174,20150529,8,등급,2,예비인증 등급,0,,0,,-
175,20150529,9,냉방설비,1,냉방시스템설치여부,0,,0,,-
176,20150529,10,신청지역,1,신청지역,0,,0,,-
177,20150529,11,제로에너지건축물인증,1,에너지자립률,0,,0,,-
178,20150529,11,제로에너지건축물인증,1,단위면적당 1차에너지생산량,0,,0,,-
179,20150529,11,제로에너지건축물인증,1,단위면적당 1차에너지소비량,0,,0,,-
180,20150529,11,제로에너지건축물인증,1,에너지자립률(대지외),0,,0,,-
181,20150529,11,제로에너지건축물인증,1,단위면적당 1차에너지생산량(대지외),0,,0,,-
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,,,,
301,,,,,,,,,,
302,,,,,,,,,,
303,,,,,,,,,,
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,,
308,,,,,,,,,,
309,,,,,,,,,,
310,,,,,,,,,,
311,,,,,,,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,,
315,,,,,,,,,,
316,,,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,,
319,,,,,,,,,,
320,,,,,,,,,,
321,,,,,,,,,,
322,,,,,,,,,,
323,,,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,,,,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,,,,,,,,,,
334,,,,,,,,,,
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,
346,,,,,,,,,,
347,,,,,,,,,,
348,,,,,,,,,,
349,,,,,,,,,,
350,,,,,,,,,,
351,,,,,,,,,,
352,,,,,,,,,,
353,,,,,,,,,,
354,,,,,,,,,,
355,,,,,,,,,,
356,,,,,,,,,,
357,,,,,,,,,,
358,,,,,,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,,,,,,,,,,
362,,,,,,,,,,
363,,,,,,,,,,
364,,,,,,,,,,
365,,,,,,,,,,
366,,,,,,,,,,
367,,,,,,,,,,
368,,,,,,,,,,
369,,,,,,,,,,
370,,,,,,,,,,
371,,,,,,,,,,
372,,,,,,,,,,
